GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/18/2017
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
16900,fuelbed_16900.xml,90,220.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.460000,0.000000,80.000000,0.000000,0.010000,0.000000,90.000000,0.000000,0.200000,0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,4.230000,11,11
17100,fuelbed_17100.xml,283,230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,13,13
21111,fuelbed_21111.xml,67,230.000000,0.043124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.090000,0.090000,0.090000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.543124,11,11
21112,fuelbed_21112.xml,67,230.000000,0.215622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.110000,0.090000,0.090000,0.300000,0.150000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.755622,11,11
21113,fuelbed_21113.xml,67,230.000000,0.970299,0.000000,0.181122,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.130000,0.170000,0.170000,0.600000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.421422,11,11
21114,fuelbed_21114.xml,67,230.000000,1.617165,0.000000,0.172498,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.140000,0.350000,0.350000,0.750000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.129663,11,11
21115,fuelbed_21115.xml,67,230.000000,1.617165,0.000000,0.172498,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.400000,0.000000,90.000000,0.000000,0.150000,0.350000,0.350000,1.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.489663,11,11
21116,fuelbed_21116.xml,67,230.000000,1.617165,0.000000,0.172498,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.400000,0.000000,90.000000,0.000000,0.160000,0.350000,0.350000,1.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.100000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.199663,11,11
21121,fuelbed_21121.xml,67,230.000000,0.060374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.100000,0.200000,0.150000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.760374,11,11
21122,fuelbed_21122.xml,67,230.000000,0.646866,0.000000,0.059296,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.160000,0.250000,0.200000,1.000000,0.380000,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.026163,11,11
